,Question,Equation,Combined,Answer
946,Josh had w marbles in his collection. He found x marbles while he lost y marbles. How many more marbles did he lose than those he found?,( y - x ),Josh had 15 marbles in his collection. He found 9 marbles while he lost 23 marbles. How many more marbles did he lose than those he found?,14
947,Jack received w emails in the morning and some more in the afternoon. If he received a total of x emails in the day How many emails did Jack receive in the afternoon?,( x - w ),Jack received 4 emails in the morning and some more in the afternoon. If he received a total of 5 emails in the day How many emails did Jack receive in the afternoon?,1
948,Luke gained w points in each round of a game. If he played x rounds of a trivia game How many points did he score in the game?,( x * w ),Luke gained 146 points in each round of a game. If he played 157 rounds of a trivia game How many points did he score in the game?,22922
949,There were some roses in the vase. Jessica cut w more roses from her flower garden and put them in the vase. There are now x roses in the vase. How many roses were there in the vase at the beginning?,( x - w ),There were some roses in the vase. Jessica cut 16 more roses from her flower garden and put them in the vase. There are now 23 roses in the vase. How many roses were there in the vase at the beginning?,7
950,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped w inches. The frog jumped x inches farther than the grasshopper and the mouse jumped y inches lesser than the frog. How far did the frog jump?",( w + x ),"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 19 inches. The frog jumped 39 inches farther than the grasshopper and the mouse jumped 94 inches lesser than the frog. How far did the frog jump?",58
951,Adam has w more apples than Jackie. Jackie has x oranges and y apples. How many apples does Adam have?,( w + y ),Adam has 5 more apples than Jackie. Jackie has 89 oranges and 11 apples. How many apples does Adam have?,16
952,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that w visitors came to the Buckingham palace that day. If x people visited the Buckingham palace within the past y days How many visitors visited the Buckingham palace on the previous day?",( x - w ),"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 132 visitors came to the Buckingham palace that day. If 406 people visited the Buckingham palace within the past 327 days How many visitors visited the Buckingham palace on the previous day?",274
953,w campers went rowing and x campers went hiking in the morning. y campers went rowing in the afternoon. How many more campers went rowing in the morning than in the afternoon?,( w - y ),29 campers went rowing and 66 campers went hiking in the morning. 26 campers went rowing in the afternoon. How many more campers went rowing in the morning than in the afternoon?,3
954,Dave had w apps on his phone. After adding some he had x left. How many apps did he add?,( x - w ),Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,1
955,There were w parents in the program and x pupils too. How many more pupils were present compared to parents in the program?,( x - w ),There were 174 parents in the program and 521 pupils too. How many more pupils were present compared to parents in the program?,347
956,Paco ate w cookies and had x cookies left. How many cookies did he have in the beginning?,( w + x ),Paco ate 19 cookies and had 35 cookies left. How many cookies did he have in the beginning?,54
957,If each bag has w cookies and you had x cookies in total How many bags of cookies do you have?,( x / w ),If each bag has 3 cookies and you had 21 cookies in total How many bags of cookies do you have?,7
958,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped w inches. The grasshopper jumped x inches farther than the frog and the mouse jumped y inches lesser than the frog. How far did the mouse jump?",( ( w - x ) - y ),"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 39 inches. The grasshopper jumped 19 inches farther than the frog and the mouse jumped 12 inches lesser than the frog. How far did the mouse jump?",8
959,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by w of the pickers that they fill x drums of grapes in y days. How many drums of grapes would be filled per day?",( x / y ),"Being his favorite, he saved checking on the grapevines for his last stop. He was told by 94 of the pickers that they fill 90 drums of grapes in 6 days. How many drums of grapes would be filled per day?",15
960,Katie had w new games and x old games. Her friends had y new games and z old games. How many new games do they have together?,( w + y ),Katie had 84 new games and 19 old games. Her friends had 8 new games and 69 old games. How many new games do they have together?,92
961,"Being his favorite, he saved checking on the grapevines after w stops. He was told by x of the pickers that they fill y drums of grapes per day. How many drums of grapes would be filled in z days?",( y * z ),"Being his favorite, he saved checking on the grapevines after 57 stops. He was told by 252 of the pickers that they fill 108 drums of grapes per day. How many drums of grapes would be filled in 58 days?",6264
962,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that w visitors came to the Buckingham palace on the previous day. If x people visited the Buckingham palace within the past y days How many visitors visited the Buckingham palace on that day?",( x - w ),"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 45 visitors came to the Buckingham palace on the previous day. If 829 people visited the Buckingham palace within the past 85 days How many visitors visited the Buckingham palace on that day?",784
